Datetime,Water Level (m)
2023-08-01 00:00:00,-1.5222903
2023-08-01 01:00:00,-1.3073379
2023-08-01 02:00:00,-0.24527892
2023-08-01 03:00:00,0.89503497
2023-08-01 04:00:00,1.9982648
2023-08-01 05:00:00,2.7790961
2023-08-01 06:00:00,3.186223
2023-08-01 07:00:00,3.109375
2023-08-01 08:00:00,2.4823494
2023-08-01 09:00:00,1.5275328
2023-08-01 10:00:00,0.47748917
2023-08-01 11:00:00,-0.44968328
2023-08-01 12:00:00,-1.1016412
2023-08-01 13:00:00,-1.2898585
2023-08-01 14:00:00,-0.66262466
2023-08-01 15:00:00,0.4892471
2023-08-01 16:00:00,1.5704256
2023-08-01 17:00:00,2.3963106
2023-08-01 18:00:00,2.8115382
2023-08-01 19:00:00,2.7783303
2023-08-01 20:00:00,2.2301795
2023-08-01 21:00:00,1.356001
2023-08-01 22:00:00,0.3171338
2023-08-01 23:00:00,-0.6143867
2023-08-02 00:00:00,-1.3518623
2023-08-02 01:00:00,-1.6853274
2023-08-02 02:00:00,-1.0656457
2023-08-02 03:00:00,0.40396413
2023-08-02 04:00:00,1.7195328
2023-08-02 05:00:00,2.7912722
2023-08-02 06:00:00,3.3874488
2023-08-02 07:00:00,3.4778588
2023-08-02 08:00:00,3.009675
2023-08-02 09:00:00,2.1102724
2023-08-02 10:00:00,0.96810997
2023-08-02 11:00:00,-0.0991513
2023-08-02 12:00:00,-1.0340167
2023-08-02 13:00:00,-1.7021538
2023-08-02 14:00:00,-1.9070545
2023-08-02 15:00:00,-0.9820979
2023-08-02 16:00:00,0.44852337
2023-08-02 17:00:00,1.6641331
2023-08-02 18:00:00,2.511914
2023-08-02 19:00:00,2.8431976
2023-08-02 20:00:00,2.6857984
2023-08-02 21:00:00,2.030778
2023-08-02 22:00:00,1.0839096
2023-08-02 23:00:00,0.015821291
2023-08-03 00:00:00,-0.91705734
2023-08-03 01:00:00,-1.6389343
2023-08-03 02:00:00,-1.9127175
2023-08-03 03:00:00,-1.0549413
2023-08-03 04:00:00,0.47673604
2023-08-03 05:00:00,1.8031994
2023-08-03 06:00:00,2.8020482
2023-08-03 07:00:00,3.282898
2023-08-03 08:00:00,3.24358
2023-08-03 09:00:00,2.6566038
2023-08-03 10:00:00,1.6957005
2023-08-03 11:00:00,0.5328245
2023-08-03 12:00:00,-0.5354558
2023-08-03 13:00:00,-1.4326466
2023-08-03 14:00:00,-1.9882531
2023-08-03 15:00:00,-1.9424905
2023-08-03 16:00:00,-0.5520323
2023-08-03 17:00:00,0.7863699
2023-08-03 18:00:00,1.943312
2023-08-03 19:00:00,2.6227705
2023-08-03 20:00:00,2.8003268
2023-08-03 21:00:00,2.5172307
2023-08-03 22:00:00,1.7238152
2023-08-03 23:00:00,0.7278375
2023-08-04 00:00:00,-0.31169695
2023-08-04 01:00:00,-1.2362206
2023-08-04 02:00:00,-1.8447217
2023-08-04 03:00:00,-1.9705826
2023-08-04 04:00:00,-0.776988
2023-08-04 05:00:00,0.69522023
2023-08-04 06:00:00,1.9974462
2023-08-04 07:00:00,2.8717558
2023-08-04 08:00:00,3.208224
2023-08-04 09:00:00,3.0161297
2023-08-04 10:00:00,2.2820115
2023-08-04 11:00:00,1.2691357
2023-08-04 12:00:00,0.12732127
2023-08-04 13:00:00,-0.90033716
2023-08-04 14:00:00,-1.6886908
2023-08-04 15:00:00,-2.1302323
2023-08-04 16:00:00,-1.7093011
2023-08-04 17:00:00,-0.16900416
2023-08-04 18:00:00,1.0758418
2023-08-04 19:00:00,2.1343315
2023-08-04 20:00:00,2.6813717
2023-08-04 21:00:00,2.7428901
2023-08-04 22:00:00,2.3413022
2023-08-04 23:00:00,1.4919581
2023-08-05 00:00:00,0.4755055
2023-08-05 01:00:00,-0.53628945
2023-08-05 02:00:00,-1.3771452
2023-08-05 03:00:00,-1.8903911
2023-08-05 04:00:00,-1.7698982
2023-08-05 05:00:00,-0.36047408
2023-08-05 06:00:00,0.97995925
2023-08-05 07:00:00,2.158366
2023-08-05 08:00:00,2.837087
2023-08-05 09:00:00,3.0013754
2023-08-05 10:00:00,2.6874938
2023-08-05 11:00:00,1.8727403
2023-08-05 12:00:00,0.8524414
2023-08-05 13:00:00,-0.20781228
2023-08-05 14:00:00,-1.159508
2023-08-05 15:00:00,-1.8422902
2023-08-05 16:00:00,-2.0938153
2023-08-05 17:00:00,-1.2506932
2023-08-05 18:00:00,0.16644235
2023-08-05 19:00:00,1.3616616
2023-08-05 20:00:00,2.2572622
2023-08-05 21:00:00,2.6675537
2023-08-05 22:00:00,2.6079173
2023-08-05 23:00:00,2.0906227
2023-08-06 00:00:00,1.2416704
2023-08-06 01:00:00,0.24664797
2023-08-06 02:00:00,-0.6945976
2023-08-06 03:00:00,-1.413735
2023-08-06 04:00:00,-1.799314
2023-08-06 05:00:00,-1.3556156
2023-08-06 06:00:00,0.015513075
2023-08-06 07:00:00,1.2194386
2023-08-06 08:00:00,2.2054794
2023-08-06 09:00:00,2.7287967
2023-08-06 10:00:00,2.7651067
2023-08-06 11:00:00,2.345199
2023-08-06 12:00:00,1.5252576
2023-08-06 13:00:00,0.5268206
2023-08-06 14:00:00,-0.460751
2023-08-06 15:00:00,-1.2451426
2023-08-06 16:00:00,-1.7862073
2023-08-06 17:00:00,-1.7850667
2023-08-06 18:00:00,-0.7000838
2023-08-06 19:00:00,0.5095438
2023-08-06 20:00:00,1.5896717
2023-08-06 21:00:00,2.2873807
2023-08-06 22:00:00,2.5773523
2023-08-06 23:00:00,2.4573836
2023-08-07 00:00:00,1.8800908
